id,entrada,primeiro,segundo,atraso,saida,usuario,fechado,cliente_id,tipo_receita,atrasoautorizado,over_10_hours_authorization
7658,2024-05-16 08:40:50,0,0,0,2024-05-16 09:24:23,50,1,83,15,0,0
7657,2024-05-16 08:42:00,0,0,0,2024-05-16 08:54:00,58,1,83,21,0,0
7653,2024-05-16 08:48:37,0,0,0,2024-05-16 12:35:15,66,1,83,7,0,0
7654,2024-05-16 08:53:45,0,0,0,2024-05-16 09:28:54,67,1,83,21,0,0
7659,2024-05-16 08:54:00,0,0,0,2024-05-16 09:11:42,58,1,2556,3,0,0
7655,2024-05-16 08:54:02,0,0,0,2024-05-16 08:54:47,38,1,83,6,0,1
7660,2024-05-16 08:55:00,0,0,0,2024-05-16 09:45:23,38,1,83,6,0,1
7667,2024-05-16 09:04:14,0,0,0,2024-05-16 11:13:51,11,1,83,21,0,0
7661,2024-05-16 09:11:07,0,0,0,2024-05-16 11:31:43,10,1,83,1,0,0
7662,2024-05-16 09:11:47,0,0,0,2024-05-16 09:25:21,58,1,2864,21,0,0
7663,2024-05-16 09:20:20,0,0,0,2024-05-16 11:46:18,5,1,83,1,0,0
7664,2024-05-16 09:21:00,0,0,0,2024-05-16 11:27:28,4,1,83,7,0,0
7665,2024-05-16 09:24:27,0,0,0,2024-05-16 10:02:19,50,1,2556,15,0,0
